INSERT ALL 
 INTO PSE1.DownloadsVALUES ('1', '25-06-2018', '617', '155') 
 INTO PSE1.DownloadsVALUES ('367', '16-04-2019', '622', '569') 
 INTO PSE1.DownloadsVALUES ('368', '20-12-2018', '666', '384') 
 INTO PSE1.DownloadsVALUES ('369', '08-08-2019', '639', '399') 
 INTO PSE1.DownloadsVALUES ('370', '06-12-2019', '464', '371') 
 INTO PSE1.DownloadsVALUES ('371', '10-09-2018', '790', '509') 
 INTO PSE1.DownloadsVALUES ('372', '14-08-2018', '781', '140') 
 INTO PSE1.DownloadsVALUES ('373', '08-05-2019', '412', '585') 
 INTO PSE1.DownloadsVALUES ('374', '24-03-2019', '84', '392') 
 INTO PSE1.DownloadsVALUES ('375', '30-12-2018', '596', '345') 
 INTO PSE1.DownloadsVALUES ('376', '11-03-2019', '649', '370') 
 INTO PSE1.DownloadsVALUES ('377', '09-11-2018', '316', '18') 
 INTO PSE1.DownloadsVALUES ('378', '25-06-2018', '430', '250') 
 INTO PSE1.DownloadsVALUES ('379', '06-06-2019', '825', '624') 
 INTO PSE1.DownloadsVALUES ('380', '24-06-2018', '365', '163') 
 INTO PSE1.DownloadsVALUES ('381', '08-01-2019', '381', '429') 
 INTO PSE1.DownloadsVALUES ('382', '18-07-2019', '412', '249') 
 INTO PSE1.DownloadsVALUES ('383', '20-08-2019', '538', '485') 
 INTO PSE1.DownloadsVALUES ('384', '03-07-2018', '416', '461') 
 INTO PSE1.DownloadsVALUES ('385', '11-12-2019', '518', '40') 
 INTO PSE1.DownloadsVALUES ('386', '11-09-2019', '789', '296') 
 INTO PSE1.DownloadsVALUES ('387', '14-07-2019', '499', '384') 
 INTO PSE1.DownloadsVALUES ('388', '08-04-2019', '721', '78') 
 INTO PSE1.DownloadsVALUES ('389', '26-02-2019', '610', '626') 
 INTO PSE1.DownloadsVALUES ('390', '28-12-2018', '773', '246') 
 INTO PSE1.DownloadsVALUES ('391', '10-05-2018', '43', '378') 
 INTO PSE1.DownloadsVALUES ('392', '08-09-2018', '640', '504') 
 INTO PSE1.DownloadsVALUES ('393', '12-05-2018', '87', '566') 
 INTO PSE1.DownloadsVALUES ('394', '25-11-2019', '1', '508') 
 INTO PSE1.DownloadsVALUES ('395', '10-02-2019', '545', '110') 
 INTO PSE1.DownloadsVALUES ('396', '09-10-2019', '362', '215') 
 INTO PSE1.DownloadsVALUES ('397', '10-01-2018', '741', '407') 
 INTO PSE1.DownloadsVALUES ('398', '21-05-2018', '140', '590') 
 INTO PSE1.DownloadsVALUES ('399', '06-05-2018', '645', '350') 
 INTO PSE1.DownloadsVALUES ('400', '06-04-2019', '922', '38') 
 INTO PSE1.DownloadsVALUES ('401', '26-02-2018', '172', '86') 
 INTO PSE1.DownloadsVALUES ('402', '11-05-2018', '472', '436') 
 INTO PSE1.DownloadsVALUES ('403', '10-01-2019', '248', '279') 
 INTO PSE1.DownloadsVALUES ('404', '05-08-2019', '494', '19') 
 INTO PSE1.DownloadsVALUES ('405', '20-06-2019', '336', '408') 
 INTO PSE1.DownloadsVALUES ('406', '25-01-2018', '835', '548') 
 INTO PSE1.DownloadsVALUES ('407', '28-09-2018', '396', '542') 
 INTO PSE1.DownloadsVALUES ('408', '13-12-2019', '791', '473') 
 INTO PSE1.DownloadsVALUES ('409', '23-08-2019', '550', '303') 
 INTO PSE1.DownloadsVALUES ('410', '23-09-2019', '380', '403') 
 INTO PSE1.DownloadsVALUES ('411', '03-09-2018', '779', '617') 
 INTO PSE1.DownloadsVALUES ('412', '18-04-2019', '119', '46') 
 INTO PSE1.DownloadsVALUES ('413', '15-04-2019', '469', '473') 
 INTO PSE1.DownloadsVALUES ('414', '07-07-2018', '614', '244') 
 INTO PSE1.DownloadsVALUES ('415', '20-12-2019', '262', '545') 
 INTO PSE1.DownloadsVALUES ('416', '21-04-2019', '547', '49') 
 INTO PSE1.DownloadsVALUES ('417', '09-09-2018', '130', '462') 
 INTO PSE1.DownloadsVALUES ('418', '10-08-2018', '38', '599') 
 INTO PSE1.DownloadsVALUES ('419', '21-05-2018', '120', '284') 
 INTO PSE1.DownloadsVALUES ('420', '31-03-2018', '946', '40') 
 INTO PSE1.DownloadsVALUES ('421', '21-08-2019', '796', '166') 
 INTO PSE1.DownloadsVALUES ('422', '20-07-2018', '918', '108') 
 INTO PSE1.DownloadsVALUES ('423', '13-02-2019', '391', '311') 
 INTO PSE1.DownloadsVALUES ('424', '22-09-2019', '397', '244') 
 INTO PSE1.DownloadsVALUES ('425', '31-12-2020', '142', '628') 
 INTO PSE1.DownloadsVALUES ('426', '05-06-2019', '456', '524') 
 INTO PSE1.DownloadsVALUES ('427', '09-07-2018', '780', '397') 
 INTO PSE1.DownloadsVALUES ('428', '20-04-2018', '586', '634') 
 INTO PSE1.DownloadsVALUES ('429', '17-07-2018', '402', '132') 
 INTO PSE1.DownloadsVALUES ('430', '30-07-2019', '965', '98') 
 INTO PSE1.DownloadsVALUES ('431', '04-02-2019', '238', '241') 
 INTO PSE1.DownloadsVALUES ('432', '17-11-2018', '738', '11') 
 INTO PSE1.DownloadsVALUES ('433', '14-12-2019', '654', '625') 
 INTO PSE1.DownloadsVALUES ('434', '28-09-2018', '731', '149') 
 INTO PSE1.DownloadsVALUES ('435', '04-12-2019', '677', '524') 
 INTO PSE1.DownloadsVALUES ('436', '13-06-2018', '913', '187') 
 INTO PSE1.DownloadsVALUES ('437', '12-06-2018', '566', '366') 
 INTO PSE1.DownloadsVALUES ('438', '31-05-2018', '463', '211') 
 INTO PSE1.DownloadsVALUES ('439', '26-02-2019', '218', '588') 
 INTO PSE1.DownloadsVALUES ('440', '20-12-2018', '689', '235') 
 INTO PSE1.DownloadsVALUES ('441', '17-04-2018', '105', '94') 
 INTO PSE1.DownloadsVALUES ('442', '10-11-2018', '423', '154') 
 INTO PSE1.DownloadsVALUES ('443', '13-03-2019', '417', '391') 
 INTO PSE1.DownloadsVALUES ('444', '19-06-2019', '90', '460') 
 INTO PSE1.DownloadsVALUES ('445', '16-12-2018', '637', '135') 
 INTO PSE1.DownloadsVALUES ('446', '25-06-2018', '563', '300') 
 INTO PSE1.DownloadsVALUES ('447', '10-12-2018', '613', '374') 
 INTO PSE1.DownloadsVALUES ('448', '05-07-2018', '477', '459') 
 INTO PSE1.DownloadsVALUES ('449', '17-01-2019', '338', '484') 
 INTO PSE1.DownloadsVALUES ('450', '07-01-2018', '446', '59') 
 INTO PSE1.DownloadsVALUES ('451', '30-12-2020', '499', '531') 
 INTO PSE1.DownloadsVALUES ('452', '10-11-2018', '801', '218') 
 INTO PSE1.DownloadsVALUES ('453', '28-11-2019', '310', '358') 
 INTO PSE1.DownloadsVALUES ('454', '04-08-2018', '311', '349') 
 INTO PSE1.DownloadsVALUES ('455', '16-06-2018', '630', '353') 
 INTO PSE1.DownloadsVALUES ('456', '31-03-2018', '871', '170') 
 INTO PSE1.DownloadsVALUES ('457', '16-08-2018', '595', '505') 
 INTO PSE1.DownloadsVALUES ('458', '24-07-2019', '291', '457') 
 INTO PSE1.DownloadsVALUES ('459', '28-07-2019', '165', '210') 
 INTO PSE1.DownloadsVALUES ('460', '26-04-2018', '209', '123') 
 INTO PSE1.DownloadsVALUES ('461', '16-07-2018', '274', '334') 
 INTO PSE1.DownloadsVALUES ('462', '17-10-2018', '788', '561') 
 INTO PSE1.DownloadsVALUES ('463', '21-11-2019', '806', '289') 
 INTO PSE1.DownloadsVALUES ('464', '04-01-2019', '312', '481') 
 INTO PSE1.DownloadsVALUES ('465', '05-09-2019', '48', '291') 
 INTO PSE1.DownloadsVALUES ('466', '05-08-2019', '316', '350') 
 INTO PSE1.DownloadsVALUES ('467', '14-05-2018', '730', '158') 
 INTO PSE1.DownloadsVALUES ('468', '07-03-2018', '507', '574') 
 INTO PSE1.DownloadsVALUES ('469', '08-04-2019', '37', '202') 
 INTO PSE1.DownloadsVALUES ('470', '24-12-2019', '540', '423') 
 INTO PSE1.DownloadsVALUES ('471', '17-05-2018', '856', '288') 
 INTO PSE1.DownloadsVALUES ('472', '16-08-2018', '487', '527') 
 INTO PSE1.DownloadsVALUES ('473', '09-11-2018', '756', '9') 
 INTO PSE1.DownloadsVALUES ('474', '24-12-2018', '603', '319') 
 INTO PSE1.DownloadsVALUES ('475', '11-04-2018', '304', '622') 
 INTO PSE1.DownloadsVALUES ('476', '20-07-2019', '951', '557') 
 INTO PSE1.DownloadsVALUES ('477', '05-07-2019', '582', '548') 
 INTO PSE1.DownloadsVALUES ('478', '13-11-2019', '860', '515') 
 INTO PSE1.DownloadsVALUES ('479', '23-02-2019', '516', '330') 
 INTO PSE1.DownloadsVALUES ('480', '25-10-2019', '888', '501') 
 INTO PSE1.DownloadsVALUES ('481', '23-10-2019', '564', '450') 
 INTO PSE1.DownloadsVALUES ('482', '13-06-2018', '965', '79') 
 INTO PSE1.DownloadsVALUES ('483', '03-07-2019', '575', '47') 
 INTO PSE1.DownloadsVALUES ('484', '24-01-2018', '77', '337') 
 INTO PSE1.DownloadsVALUES ('485', '08-11-2019', '664', '4') 
 INTO PSE1.DownloadsVALUES ('486', '07-07-2019', '763', '75') 
 INTO PSE1.DownloadsVALUES ('487', '22-08-2018', '563', '314') 
 INTO PSE1.DownloadsVALUES ('488', '18-07-2019', '480', '444') 
 INTO PSE1.DownloadsVALUES ('489', '27-07-2018', '808', '82') 
 INTO PSE1.DownloadsVALUES ('490', '27-10-2019', '416', '596') 
 INTO PSE1.DownloadsVALUES ('491', '25-01-2019', '361', '102') 
 INTO PSE1.DownloadsVALUES ('492', '19-02-2018', '871', '245') 
 INTO PSE1.DownloadsVALUES ('493', '04-04-2019', '666', '384') 
 INTO PSE1.DownloadsVALUES ('494', '15-01-2018', '609', '136') 
 INTO PSE1.DownloadsVALUES ('495', '17-09-2019', '781', '389') 
 INTO PSE1.DownloadsVALUES ('496', '28-09-2018', '700', '531') 
 INTO PSE1.DownloadsVALUES ('497', '07-01-2018', '82', '28') 
 INTO PSE1.DownloadsVALUES ('498', '01-11-2018', '442', '572') 
 INTO PSE1.DownloadsVALUES ('499', '29-06-2019', '640', '618') 
 INTO PSE1.DownloadsVALUES ('500', '05-08-2019', '250', '60') 
 INTO PSE1.DownloadsVALUES ('501', '09-02-2018', '266', '70') 
 INTO PSE1.DownloadsVALUES ('502', '31-03-2018', '55', '423') 
 INTO PSE1.DownloadsVALUES ('503', '08-03-2018', '24', '94') 
 INTO PSE1.DownloadsVALUES ('504', '05-06-2018', '447', '265') 
 INTO PSE1.DownloadsVALUES ('505', '14-10-2018', '311', '172') 
 INTO PSE1.DownloadsVALUES ('506', '20-06-2019', '28', '513') 
 INTO PSE1.DownloadsVALUES ('507', '31-07-2019', '452', '435') 
 INTO PSE1.DownloadsVALUES ('508', '08-01-2019', '5', '351') 
 INTO PSE1.DownloadsVALUES ('509', '16-10-2019', '379', '540') 
 INTO PSE1.DownloadsVALUES ('510', '03-10-2018', '742', '180') 
 INTO PSE1.DownloadsVALUES ('511', '30-01-2018', '748', '391') 
 INTO PSE1.DownloadsVALUES ('512', '19-06-2019', '659', '419') 
 INTO PSE1.DownloadsVALUES ('513', '06-06-2019', '474', '601') 
 INTO PSE1.DownloadsVALUES ('514', '16-08-2018', '440', '540') 
 INTO PSE1.DownloadsVALUES ('515', '13-10-2019', '425', '315') 
 INTO PSE1.DownloadsVALUES ('516', '21-05-2018', '43', '176') 
 INTO PSE1.DownloadsVALUES ('517', '04-04-2019', '386', '433') 
 INTO PSE1.DownloadsVALUES ('518', '15-09-2019', '851', '81') 
 INTO PSE1.DownloadsVALUES ('519', '12-03-2019', '372', '172') 
 INTO PSE1.DownloadsVALUES ('520', '13-01-2019', '946', '474') 
 INTO PSE1.DownloadsVALUES ('521', '19-08-2018', '783', '55') 
 INTO PSE1.DownloadsVALUES ('522', '13-08-2018', '674', '40') 
 INTO PSE1.DownloadsVALUES ('523', '24-09-2019', '125', '387') 
 INTO PSE1.DownloadsVALUES ('524', '20-04-2019', '811', '241') 
 INTO PSE1.DownloadsVALUES ('525', '04-08-2019', '349', '291') 
 INTO PSE1.DownloadsVALUES ('526', '13-04-2019', '474', '33') 
 INTO PSE1.DownloadsVALUES ('527', '20-11-2018', '561', '289') 
 INTO PSE1.DownloadsVALUES ('528', '11-06-2019', '407', '409') 
 INTO PSE1.DownloadsVALUES ('529', '26-09-2018', '596', '473') 
 INTO PSE1.DownloadsVALUES ('530', '14-11-2019', '177', '467') 
 INTO PSE1.DownloadsVALUES ('531', '03-07-2019', '804', '427') 
 INTO PSE1.DownloadsVALUES ('532', '27-05-2019', '755', '614') 
 INTO PSE1.DownloadsVALUES ('533', '28-04-2018', '379', '409') 
 INTO PSE1.DownloadsVALUES ('534', '21-12-2019', '695', '565') 
 INTO PSE1.DownloadsVALUES ('535', '12-08-2018', '472', '439') 
 INTO PSE1.DownloadsVALUES ('536', '21-08-2019', '498', '40') 
 INTO PSE1.DownloadsVALUES ('537', '11-05-2018', '774', '399') 
 INTO PSE1.DownloadsVALUES ('538', '27-09-2019', '342', '173') 
 INTO PSE1.DownloadsVALUES ('539', '18-06-2019', '229', '530') 
 INTO PSE1.DownloadsVALUES ('540', '05-09-2018', '288', '502') 
 INTO PSE1.DownloadsVALUES ('541', '10-09-2018', '507', '453') 
 INTO PSE1.DownloadsVALUES ('542', '13-11-2019', '149', '445') 
 INTO PSE1.DownloadsVALUES ('543', '10-06-2018', '148', '355') 
 INTO PSE1.DownloadsVALUES ('544', '11-12-2018', '519', '142') 
 INTO PSE1.DownloadsVALUES ('545', '08-10-2018', '285', '269') 
 INTO PSE1.DownloadsVALUES ('546', '06-12-2019', '620', '155') 
 INTO PSE1.DownloadsVALUES ('547', '19-11-2018', '775', '458') 
 INTO PSE1.DownloadsVALUES ('548', '16-06-2018', '346', '101') 
 INTO PSE1.DownloadsVALUES ('549', '02-03-2018', '365', '190') 
 INTO PSE1.DownloadsVALUES ('550', '12-05-2018', '911', '264') 
 INTO PSE1.DownloadsVALUES ('551', '22-10-2018', '484', '55') 
 INTO PSE1.DownloadsVALUES ('552', '14-12-2018', '119', '309') 
 INTO PSE1.DownloadsVALUES ('553', '20-05-2018', '357', '65') 
 INTO PSE1.DownloadsVALUES ('554', '18-01-2019', '578', '387') 
 INTO PSE1.DownloadsVALUES ('555', '07-10-2018', '38', '345') 
 INTO PSE1.DownloadsVALUES ('556', '16-11-2018', '196', '435') 
 INTO PSE1.DownloadsVALUES ('557', '10-01-2019', '615', '219') 
 INTO PSE1.DownloadsVALUES ('558', '05-04-2019', '63', '55') 
 INTO PSE1.DownloadsVALUES ('559', '28-03-2018', '432', '181') 
 INTO PSE1.DownloadsVALUES ('560', '08-05-2018', '300', '528') 
 INTO PSE1.DownloadsVALUES ('561', '18-08-2018', '8', '534') 
 INTO PSE1.DownloadsVALUES ('562', '14-08-2019', '861', '83') 
 INTO PSE1.DownloadsVALUES ('563', '02-08-2018', '193', '366') 
 INTO PSE1.DownloadsVALUES ('564', '09-12-2019', '540', '160') 
 INTO PSE1.DownloadsVALUES ('565', '15-12-2018', '119', '491') 
 INTO PSE1.DownloadsVALUES ('566', '11-05-2019', '298', '16') 
 INTO PSE1.DownloadsVALUES ('567', '17-03-2019', '374', '19') 
 INTO PSE1.DownloadsVALUES ('568', '14-10-2019', '325', '375') 
 INTO PSE1.DownloadsVALUES ('569', '08-07-2018', '790', '302') 
 INTO PSE1.DownloadsVALUES ('570', '04-12-2018', '408', '491') 
 INTO PSE1.DownloadsVALUES ('571', '31-05-2019', '24', '570') 
 INTO PSE1.DownloadsVALUES ('572', '27-09-2018', '423', '101') 
 INTO PSE1.DownloadsVALUES ('573', '04-02-2019', '526', '35') 
 INTO PSE1.DownloadsVALUES ('574', '21-09-2018', '159', '379') 
 INTO PSE1.DownloadsVALUES ('575', '22-12-2018', '495', '412') 
 INTO PSE1.DownloadsVALUES ('576', '16-01-2019', '250', '417') 
 INTO PSE1.DownloadsVALUES ('577', '04-02-2018', '129', '609') 
 INTO PSE1.DownloadsVALUES ('578', '04-08-2018', '815', '41') 
 INTO PSE1.DownloadsVALUES ('579', '22-06-2019', '186', '271') 
 INTO PSE1.DownloadsVALUES ('580', '15-10-2019', '52', '215') 
 INTO PSE1.DownloadsVALUES ('581', '18-08-2018', '489', '552') 
 INTO PSE1.DownloadsVALUES ('582', '12-04-2018', '174', '606') 
 INTO PSE1.DownloadsVALUES ('583', '14-11-2019', '809', '568') 
 INTO PSE1.DownloadsVALUES ('584', '16-06-2018', '556', '318') 
 INTO PSE1.DownloadsVALUES ('585', '14-10-2018', '935', '43') 
 INTO PSE1.DownloadsVALUES ('586', '10-05-2019', '264', '156') 
 INTO PSE1.DownloadsVALUES ('587', '17-01-2018', '924', '54') 
 INTO PSE1.DownloadsVALUES ('588', '24-09-2018', '621', '424') 
 INTO PSE1.DownloadsVALUES ('589', '05-02-2019', '748', '569') 
 INTO PSE1.DownloadsVALUES ('590', '03-05-2019', '87', '106') 
 INTO PSE1.DownloadsVALUES ('591', '01-04-2019', '680', '557') 
 INTO PSE1.DownloadsVALUES ('592', '13-08-2018', '805', '555') 
 INTO PSE1.DownloadsVALUES ('593', '05-07-2018', '820', '518') 
 INTO PSE1.DownloadsVALUES ('594', '26-02-2018', '298', '564') 
 INTO PSE1.DownloadsVALUES ('595', '29-09-2019', '144', '420') 
 INTO PSE1.DownloadsVALUES ('596', '22-11-2019', '253', '178') 
 INTO PSE1.DownloadsVALUES ('597', '10-06-2018', '801', '325') 
 INTO PSE1.DownloadsVALUES ('598', '16-11-2019', '34', '264') 
 INTO PSE1.DownloadsVALUES ('599', '22-12-2018', '494', '307') 
 INTO PSE1.DownloadsVALUES ('600', '23-08-2019', '682', '395') 
 INTO PSE1.DownloadsVALUES ('601', '22-04-2019', '318', '535') 
 INTO PSE1.DownloadsVALUES ('602', '21-02-2019', '836', '352') 
 INTO PSE1.DownloadsVALUES ('603', '16-02-2019', '229', '325') 
 INTO PSE1.DownloadsVALUES ('604', '08-02-2019', '380', '605') 
 INTO PSE1.DownloadsVALUES ('605', '22-01-2019', '107', '188') 
 INTO PSE1.DownloadsVALUES ('606', '07-11-2018', '304', '454') 
 INTO PSE1.DownloadsVALUES ('607', '08-12-2019', '14', '177') 
 INTO PSE1.DownloadsVALUES ('608', '21-09-2019', '963', '170') 
 INTO PSE1.DownloadsVALUES ('609', '13-08-2018', '296', '510') 
 INTO PSE1.DownloadsVALUES ('610', '11-06-2019', '122', '89') 
 INTO PSE1.DownloadsVALUES ('611', '20-09-2018', '151', '180') 
 INTO PSE1.DownloadsVALUES ('612', '23-08-2018', '713', '276') 
 INTO PSE1.DownloadsVALUES ('613', '05-02-2018', '302', '86') 
 INTO PSE1.DownloadsVALUES ('614', '19-10-2019', '314', '52') 
 INTO PSE1.DownloadsVALUES ('615', '03-12-2018', '115', '336') 
 INTO PSE1.DownloadsVALUES ('616', '04-11-2018', '81', '376') 
 INTO PSE1.DownloadsVALUES ('617', '01-11-2018', '229', '604') 
 INTO PSE1.DownloadsVALUES ('618', '13-11-2019', '555', '620') 
 INTO PSE1.DownloadsVALUES ('619', '28-05-2018', '903', '433') 
 INTO PSE1.DownloadsVALUES ('620', '16-06-2019', '716', '122') 
 INTO PSE1.DownloadsVALUES ('621', '12-09-2019', '581', '398') 
 INTO PSE1.DownloadsVALUES ('622', '19-02-2019', '47', '572') 
 INTO PSE1.DownloadsVALUES ('623', '04-05-2019', '268', '102') 
 INTO PSE1.DownloadsVALUES ('624', '04-08-2019', '467', '106') 
 INTO PSE1.DownloadsVALUES ('625', '08-05-2018', '326', '521') 
 INTO PSE1.DownloadsVALUES ('626', '30-01-2019', '66', '392') 
 INTO PSE1.DownloadsVALUES ('627', '15-12-2019', '402', '151') 
 INTO PSE1.DownloadsVALUES ('628', '10-04-2018', '85', '350') 
 INTO PSE1.DownloadsVALUES ('629', '16-01-2018', '185', '293') 
 INTO PSE1.DownloadsVALUES ('630', '06-09-2018', '679', '632') 
 INTO PSE1.DownloadsVALUES ('631', '24-03-2018', '329', '566') 
 INTO PSE1.DownloadsVALUES ('632', '09-04-2018', '437', '373') 
 INTO PSE1.DownloadsVALUES ('633', '22-08-2019', '922', '119') 
 INTO PSE1.DownloadsVALUES ('634', '11-12-2018', '584', '244') 
 INTO PSE1.DownloadsVALUES ('635', '18-03-2018', '536', '113') 
 INTO PSE1.DownloadsVALUES ('636', '18-04-2019', '622', '108') 
 INTO PSE1.DownloadsVALUES ('637', '14-03-2019', '211', '120') 
 INTO PSE1.DownloadsVALUES ('638', '04-11-2019', '743', '186') 
 INTO PSE1.DownloadsVALUES ('639', '14-04-2018', '701', '155') 
 INTO PSE1.DownloadsVALUES ('640', '12-12-2018', '927', '121') 
 INTO PSE1.DownloadsVALUES ('641', '22-03-2018', '97', '179') 
 INTO PSE1.DownloadsVALUES ('642', '10-11-2018', '130', '502') 
 INTO PSE1.DownloadsVALUES ('643', '30-01-2018', '576', '63') 
 INTO PSE1.DownloadsVALUES ('644', '07-04-2018', '129', '522') 
 INTO PSE1.DownloadsVALUES ('645', '06-12-2018', '7', '162') 
 INTO PSE1.DownloadsVALUES ('646', '28-01-2019', '166', '608') 
 INTO PSE1.DownloadsVALUES ('647', '28-12-2019', '46', '614') 
 INTO PSE1.DownloadsVALUES ('648', '17-02-2018', '611', '299') 
 INTO PSE1.DownloadsVALUES ('649', '27-07-2019', '658', '338') 
 INTO PSE1.DownloadsVALUES ('650', '13-01-2018', '301', '414') 
 INTO PSE1.DownloadsVALUES ('651', '26-03-2018', '563', '210') 
 INTO PSE1.DownloadsVALUES ('652', '21-06-2018', '492', '196') 
 INTO PSE1.DownloadsVALUES ('653', '26-07-2018', '628', '322') 
 INTO PSE1.DownloadsVALUES ('654', '20-03-2018', '539', '145') 
 INTO PSE1.DownloadsVALUES ('655', '20-02-2019', '469', '353') 
 INTO PSE1.DownloadsVALUES ('656', '14-09-2019', '345', '226') 
 INTO PSE1.DownloadsVALUES ('657', '04-06-2018', '365', '109') 
 INTO PSE1.DownloadsVALUES ('658', '28-12-2018', '769', '244') 
 INTO PSE1.DownloadsVALUES ('659', '28-10-2019', '132', '397') 
 INTO PSE1.DownloadsVALUES ('660', '23-02-2018', '803', '350') 
 INTO PSE1.DownloadsVALUES ('661', '31-01-2018', '864', '204') 
 INTO PSE1.DownloadsVALUES ('662', '15-02-2019', '545', '75') 
 INTO PSE1.DownloadsVALUES ('663', '20-10-2018', '710', '587') 
 INTO PSE1.DownloadsVALUES ('664', '15-08-2018', '787', '354') 
 INTO PSE1.DownloadsVALUES ('665', '02-01-2019', '925', '461') 
 INTO PSE1.DownloadsVALUES ('666', '31-08-2019', '677', '68') 
 INTO PSE1.DownloadsVALUES ('667', '01-08-2018', '901', '146') 
 INTO PSE1.DownloadsVALUES ('668', '23-12-2018', '454', '353') 
 INTO PSE1.DownloadsVALUES ('669', '25-08-2018', '162', '574') 
 INTO PSE1.DownloadsVALUES ('670', '27-10-2019', '918', '210') 
 INTO PSE1.DownloadsVALUES ('671', '05-12-2019', '440', '230') 
 INTO PSE1.DownloadsVALUES ('672', '22-10-2018', '871', '241') 
 INTO PSE1.DownloadsVALUES ('673', '29-03-2019', '656', '303') 
 INTO PSE1.DownloadsVALUES ('674', '15-03-2018', '668', '206') 
 INTO PSE1.DownloadsVALUES ('675', '27-09-2018', '482', '253') 
 INTO PSE1.DownloadsVALUES ('676', '24-02-2018', '484', '240') 
 INTO PSE1.DownloadsVALUES ('677', '08-09-2018', '446', '300') 
 INTO PSE1.DownloadsVALUES ('678', '28-05-2018', '10', '391') 
 INTO PSE1.DownloadsVALUES ('679', '12-04-2018', '217', '154') 
 INTO PSE1.DownloadsVALUES ('680', '25-08-2018', '547', '50') 
 INTO PSE1.DownloadsVALUES ('681', '06-09-2019', '109', '174') 
 INTO PSE1.DownloadsVALUES ('682', '15-10-2019', '888', '154') 
 INTO PSE1.DownloadsVALUES ('683', '27-12-2019', '446', '177') 
 INTO PSE1.DownloadsVALUES ('684', '07-06-2019', '776', '379') 
 INTO PSE1.DownloadsVALUES ('685', '25-06-2019', '225', '438') 
 INTO PSE1.DownloadsVALUES ('686', '02-07-2018', '50', '368') 
 INTO PSE1.DownloadsVALUES ('687', '23-01-2019', '205', '166') 
 INTO PSE1.DownloadsVALUES ('688', '29-03-2019', '486', '306') 
 INTO PSE1.DownloadsVALUES ('689', '16-05-2019', '881', '603') 
 INTO PSE1.DownloadsVALUES ('690', '27-09-2018', '332', '621') 
 INTO PSE1.DownloadsVALUES ('691', '15-10-2019', '394', '311') 
 INTO PSE1.DownloadsVALUES ('692', '25-12-2019', '53', '539') 
 INTO PSE1.DownloadsVALUES ('693', '17-01-2019', '758', '233') 
 INTO PSE1.DownloadsVALUES ('694', '21-07-2018', '625', '329') 
 INTO PSE1.DownloadsVALUES ('695', '03-11-2018', '805', '55') 
 INTO PSE1.DownloadsVALUES ('696', '07-04-2018', '808', '592') 
 INTO PSE1.DownloadsVALUES ('697', '31-03-2018', '558', '357') 
 INTO PSE1.DownloadsVALUES ('698', '10-12-2019', '609', '169') 
 INTO PSE1.DownloadsVALUES ('699', '08-06-2018', '796', '326') 
 INTO PSE1.DownloadsVALUES ('700', '17-03-2019', '417', '301') 
 INTO PSE1.DownloadsVALUES ('701', '01-06-2019', '447', '139') 
 INTO PSE1.DownloadsVALUES ('702', '28-12-2018', '850', '108') 
 INTO PSE1.DownloadsVALUES ('703', '26-08-2019', '54', '491') 
 INTO PSE1.DownloadsVALUES ('704', '10-01-2019', '268', '110') 
 INTO PSE1.DownloadsVALUES ('705', '19-10-2019', '869', '400') 
 INTO PSE1.DownloadsVALUES ('706', '06-04-2018', '964', '515') 
 INTO PSE1.DownloadsVALUES ('707', '19-09-2018', '100', '261') 
 INTO PSE1.DownloadsVALUES ('708', '16-07-2018', '708', '167') 
 INTO PSE1.DownloadsVALUES ('709', '16-06-2018', '668', '245') 
 INTO PSE1.DownloadsVALUES ('710', '08-04-2018', '600', '29') 
 INTO PSE1.DownloadsVALUES ('711', '10-04-2019', '482', '597') 
 INTO PSE1.DownloadsVALUES ('712', '01-05-2019', '365', '544') 
 INTO PSE1.DownloadsVALUES ('713', '12-03-2018', '802', '228') 
 INTO PSE1.DownloadsVALUES ('714', '27-04-2018', '912', '198') 
 INTO PSE1.DownloadsVALUES ('715', '03-09-2019', '880', '312') 
 INTO PSE1.DownloadsVALUES ('716', '17-02-2019', '336', '487') 
 INTO PSE1.DownloadsVALUES ('717', '16-01-2019', '771', '592') 
 INTO PSE1.DownloadsVALUES ('718', '26-12-2018', '319', '576') 
 INTO PSE1.DownloadsVALUES ('719', '20-10-2018', '268', '215') 
 INTO PSE1.DownloadsVALUES ('720', '13-06-2018', '810', '290') 
 INTO PSE1.DownloadsVALUES ('721', '17-03-2019', '387', '383') 
 INTO PSE1.DownloadsVALUES ('722', '19-01-2019', '150', '504') 
 INTO PSE1.DownloadsVALUES ('723', '07-01-2018', '748', '321') 
 INTO PSE1.DownloadsVALUES ('724', '17-08-2018', '895', '236') 
 INTO PSE1.DownloadsVALUES ('725', '06-03-2019', '350', '435') 
 INTO PSE1.DownloadsVALUES ('726', '18-07-2019', '724', '49') 
 INTO PSE1.DownloadsVALUES ('727', '24-02-2018', '480', '1') 
 INTO PSE1.DownloadsVALUES ('728', '04-02-2019', '322', '605') 
 INTO PSE1.DownloadsVALUES ('729', '02-06-2019', '830', '285') 
 INTO PSE1.DownloadsVALUES ('730', '04-12-2019', '856', '489') 
 INTO PSE1.DownloadsVALUES ('731', '31-01-2018', '954', '280') 
 INTO PSE1.DownloadsVALUES ('732', '07-04-2019', '670', '211') 
 INTO PSE1.DownloadsVALUES ('733', '09-02-2019', '268', '351') 
