INSERT ALL 
 INTO PSE1.Kunde VALUES ('0' , 'Samuel', 'Moore', 'Sixth Street', '83', '20472', 'Aachen', '02-07-2019', 'm', '6', '16-11-1956') 
 INTO PSE1.Kunde VALUES ('450' , 'Isla', 'Hall', 'Lake Street', '15', '88087', 'Hamm', '21-12-2019', 'f', '5', '08-05-1969') 
 INTO PSE1.Kunde VALUES ('451' , 'Owen', 'Thomas', 'Elm Street', '51', '47206', 'Munich', '01-03-2019', 'm', '2', '17-04-1964') 
 INTO PSE1.Kunde VALUES ('452' , 'Sebastian', 'Johnson', 'Cedar Street', '4', '60113', 'Solingen', '25-02-2019', 'f', '2', '12-06-1971') 
 INTO PSE1.Kunde VALUES ('453' , 'Muhammad', 'Lopez', 'Fifth Street', '89', '55609', 'Bonn', '05-12-2019', 'f', '12', '30-05-1964') 
 INTO PSE1.Kunde VALUES ('454' , 'Benjamin', 'Perez', 'Cedar Street', '95', '85455', 'Halle', '28-10-2019', 'f', '8', '30-08-1971') 
 INTO PSE1.Kunde VALUES ('455' , 'Lucas', 'Gonzalez', 'Pine Street', '75', '66894', 'Leverkusen', '03-05-2019', 'm', '1', '04-09-1996') 
 INTO PSE1.Kunde VALUES ('456' , 'Benjamin', 'Lopez', 'Sixth Street', '43', '52579', 'Leipzig', '02-11-2019', 'm', '10', '25-04-1996') 
 INTO PSE1.Kunde VALUES ('457' , 'William', 'Davis', 'Sixth Street', '28', '46859', 'Krefeld', '25-11-2019', 'f', '5', '15-07-1962') 
 INTO PSE1.Kunde VALUES ('458' , 'Julian', 'Lee', 'Park Street', '50', '49928', 'Leipzig', '07-09-2019', 'm', '10', '04-04-1971') 
 INTO PSE1.Kunde VALUES ('459' , 'Riley', 'Harris', 'Lake Street', '95', '25629', 'Bielefeld', '12-01-2019', 'm', '5', '23-11-1953') 
 INTO PSE1.Kunde VALUES ('460' , 'Gianna', 'Martin', 'View Street', '21', '62203', 'Duisburg', '23-02-2019', 'm', '4', '18-07-2001') 
 INTO PSE1.Kunde VALUES ('461' , 'Maverick', 'Hernandez', 'Sixth Street', '54', '22393', 'Saarbrücken', '01-07-2019', 'm', '10', '13-02-1956') 
 INTO PSE1.Kunde VALUES ('462' , 'Charlie', 'Davis', 'First Street', '70', '67386', 'Stuttgart', '19-02-2019', 'm', '6', '14-01-1984') 
 INTO PSE1.Kunde VALUES ('463' , 'Penelope', 'Garcia', 'Washington Street', '4', '56021', 'Krefeld', '01-08-2019', 'm', '10', '29-06-1977') 
 INTO PSE1.Kunde VALUES ('464' , 'Muhammad', 'Rodriguez', 'Pine Street', '73', '59914', 'Cologne', '05-06-2019', 'm', '6', '26-01-1986') 
 INTO PSE1.Kunde VALUES ('465' , 'Mia', 'Walker', 'Park Street', '88', '78525', 'Aachen', '15-05-2019', 'f', '12', '02-07-1996') 
 INTO PSE1.Kunde VALUES ('466' , 'Luna', 'Hernandez', 'Third Street', '34', '26768', 'Mainz', '04-02-2019', 'm', '2', '07-09-1996') 
 INTO PSE1.Kunde VALUES ('467' , 'Gabriel', 'Thomas', 'Fourth Street', '99', '73811', 'Hamm', '10-03-2019', 'm', '2', '19-09-1963') 
 INTO PSE1.Kunde VALUES ('468' , 'Penelope', 'Robinson', 'View Street', '23', '40728', 'Dortmund', '17-01-2019', 'f', '8', '01-04-1960') 
 INTO PSE1.Kunde VALUES ('469' , 'Maya', 'Johnson', 'Oak Street', '55', '86897', 'Mainz', '30-01-2019', 'm', '1', '25-04-1972') 
 INTO PSE1.Kunde VALUES ('470' , 'Muhammad', 'Garcia', 'Eighth Street', '85', '74889', 'Kiel', '21-05-2019', 'f', '4', '10-02-1961') 
 INTO PSE1.Kunde VALUES ('471' , 'Luca', 'Lewis', 'Fourth Street', '57', '95199', 'Ludwigshafen am Rhein', '22-01-2019', 'm', '6', '14-07-1967') 
 INTO PSE1.Kunde VALUES ('472' , 'Madison', 'Jackson', 'Second Street', '4', '79723', 'Leipzig', '05-12-2019', 'm', '6', '05-12-1966') 
 INTO PSE1.Kunde VALUES ('473' , 'Isla', 'Robinson', 'Maple Street', '55', '54512', 'Braunschweig', '17-04-2019', 'f', '6', '26-08-1978') 
 INTO PSE1.Kunde VALUES ('474' , 'Harper', 'Brown', 'Sixth Street', '19', '64717', 'Oberhausen', '04-11-2019', 'm', '7', '14-02-1960') 
 INTO PSE1.Kunde VALUES ('475' , 'Chloe', 'Lopez', 'Sixth Street', '43', '38463', 'Munich', '19-12-2019', 'm', '11', '12-06-1955') 
 INTO PSE1.Kunde VALUES ('476' , 'Miles', 'White', 'View Street', '87', '45915', 'Gelsenkirchen', '01-05-2019', 'm', '11', '27-06-1956') 
 INTO PSE1.Kunde VALUES ('477' , 'Muhammad', 'Perez', 'Lake Street', '8', '17573', 'Ludwigshafen am Rhein', '30-10-2019', 'm', '9', '28-11-1954') 
 INTO PSE1.Kunde VALUES ('478' , 'Mila', 'Miller', 'Park Street', '24', '11567', 'Leipzig', '16-02-2019', 'f', '2', '15-12-1992') 
 INTO PSE1.Kunde VALUES ('479' , 'Samuel', 'Walker', 'Lake Street', '50', '23376', 'Erfurt', '26-11-2019', 'f', '9', '29-04-1992') 
 INTO PSE1.Kunde VALUES ('480' , 'Asher', 'Garcia', 'Eighth Street', '49', '44173', 'Leverkusen', '27-06-2019', 'm', '3', '06-01-1959') 
 INTO PSE1.Kunde VALUES ('481' , 'Carter', 'Brown', 'Pine Street', '97', '21243', 'Düsseldorf', '13-10-2019', 'm', '9', '17-02-2002') 
 INTO PSE1.Kunde VALUES ('482' , 'Lila', 'Clark', 'Elm Street', '72', '35104', 'Bielefeld', '11-05-2019', 'm', '6', '07-05-1988') 
 INTO PSE1.Kunde VALUES ('483' , 'Noah', 'Wilson', 'Seventh Street', '31', '23779', 'Dresden', '02-12-2019', 'm', '4', '08-07-1973') 
 INTO PSE1.Kunde VALUES ('484' , 'Ariana', 'Martin', 'Washington Street', '10', '73792', 'Mannheim', '30-05-2019', 'f', '6', '10-09-1963') 
 INTO PSE1.Kunde VALUES ('485' , 'Miles', 'Thompson', 'Seventh Street', '19', '66814', 'Frankfurt am Main', '17-08-2019', 'm', '8', '06-12-1981') 
 INTO PSE1.Kunde VALUES ('486' , 'Emily', 'Clark', 'Fourth Street', '58', '45847', 'Halle', '03-10-2019', 'm', '13', '23-12-1994') 
 INTO PSE1.Kunde VALUES ('487' , 'Jacob', 'Clark', 'View Street', '73', '89933', 'Bochum', '05-07-2019', 'f', '13', '12-09-2003') 
 INTO PSE1.Kunde VALUES ('488' , 'Emma', 'Rodriguez', 'Fourth Street', '77', '47523', 'Cologne', '07-08-2019', 'm', '2', '09-11-1995') 
 INTO PSE1.Kunde VALUES ('489' , 'Isaac', 'Jackson', 'Third Street', '33', '94300', 'Hamm', '19-09-2019', 'm', '9', '29-12-1963') 
 INTO PSE1.Kunde VALUES ('490' , 'Logan', 'Taylor', 'Main Street', '6', '42109', 'Munich', '15-12-2019', 'm', '2', '26-06-1961') 
 INTO PSE1.Kunde VALUES ('491' , 'Elijah', 'Martin', 'Seventh Street', '44', '92150', 'Braunschweig', '22-02-2019', 'm', '7', '16-01-1998') 
 INTO PSE1.Kunde VALUES ('492' , 'Carson', 'Perez', 'Park Street', '8', '40535', 'Oldenburg', '15-04-2019', 'm', '3', '18-01-1955') 
 INTO PSE1.Kunde VALUES ('493' , 'Lily', 'Rodriguez', 'Cedar Street', '61', '37022', 'Hanover', '28-10-2019', 'f', '12', '24-04-2003') 
 INTO PSE1.Kunde VALUES ('494' , 'Jackson', 'Harris', 'Third Street', '26', '39684', 'Freiburg im Breisgau', '15-06-2019', 'f', '12', '04-10-1974') 
 INTO PSE1.Kunde VALUES ('495' , 'Lucas', 'Lewis', 'Seventh Street', '44', '13010', 'Oberhausen', '29-12-2019', 'm', '10', '27-02-1986') 
 INTO PSE1.Kunde VALUES ('496' , 'Daniel', 'Rodriguez', 'Fourth Street', '22', '61652', 'Stuttgart', '29-07-2019', 'm', '11', '15-02-1960') 
 INTO PSE1.Kunde VALUES ('497' , 'Liam', 'Hernandez', 'Park Street', '26', '76662', 'Kassel', '21-05-2019', 'm', '6', '01-05-1994') 
 INTO PSE1.Kunde VALUES ('498' , 'Scarlett', 'Perez', 'Washington Street', '77', '38839', 'Oldenburg', '07-08-2019', 'm', '1', '12-12-1973') 
 INTO PSE1.Kunde VALUES ('499' , 'Mila', 'Taylor', 'Ninth Street', '85', '92909', 'Osnabrück', '22-04-2019', 'm', '7', '02-09-1969') 
 INTO PSE1.Kunde VALUES ('500' , 'Ryan', 'Robinson', 'Seventh Street', '63', '79923', 'Dortmund', '11-05-2019', 'f', '7', '15-07-1967') 
 INTO PSE1.Kunde VALUES ('501' , 'Everly', 'Taylor', 'Sixth Street', '22', '97864', 'Solingen', '09-01-2019', 'f', '9', '04-03-1998') 
 INTO PSE1.Kunde VALUES ('502' , 'Leo', 'Martinez', 'View Street', '82', '29910', 'Krefeld', '03-04-2019', 'm', '9', '30-09-1957') 
 INTO PSE1.Kunde VALUES ('503' , 'Alexander', 'Wilson', 'View Street', '44', '33055', 'Kiel', '03-01-2019', 'f', '11', '26-05-1950') 
 INTO PSE1.Kunde VALUES ('504' , 'Samuel', 'Thompson', 'Fourth Street', '28', '50419', 'Mannheim', '16-10-2019', 'm', '8', '08-04-1986') 
 INTO PSE1.Kunde VALUES ('505' , 'Ellie', 'Jones', 'First Street', '64', '86666', 'Gelsenkirchen', '18-04-2019', 'm', '6', '08-06-1971') 
 INTO PSE1.Kunde VALUES ('506' , 'Ryan', 'Wilson', 'Fifth Street', '71', '59389', 'Bonn', '15-10-2019', 'm', '13', '26-02-1971') 
 INTO PSE1.Kunde VALUES ('507' , 'Mason', 'Hall', 'Sixth Street', '33', '57619', 'Magdeburg', '04-01-2019', 'f', '5', '30-12-1966') 
 INTO PSE1.Kunde VALUES ('508' , 'Charlotte', 'Martinez', 'Second Street', '61', '69613', 'Frankfurt am Main', '19-07-2019', 'f', '3', '22-01-2005') 
 INTO PSE1.Kunde VALUES ('509' , 'Kinsley', 'Perez', 'Park Street', '12', '12590', 'Oberhausen', '28-05-2019', 'f', '5', '28-02-2001') 
 INTO PSE1.Kunde VALUES ('510' , 'Caleb', 'Thomas', 'Maple Street', '49', '58371', 'Oberhausen', '26-05-2019', 'm', '6', '02-02-2001') 
 INTO PSE1.Kunde VALUES ('511' , 'Paisley', 'Martinez', 'Fifth Street', '61', '29422', 'Wuppertal', '26-05-2019', 'm', '7', '17-05-1993') 
 INTO PSE1.Kunde VALUES ('512' , 'Henry', 'Lewis', 'Lake Street', '77', '61996', 'Munich', '13-07-2019', 'm', '3', '24-01-1957') 
 INTO PSE1.Kunde VALUES ('513' , 'Harper', 'Rodriguez', 'Pine Street', '15', '44722', 'Mönchengladbach', '03-05-2019', 'f', '12', '02-07-1953') 
 INTO PSE1.Kunde VALUES ('514' , 'Riley', 'Lee', 'Washington Street', '82', '64089', 'Krefeld', '02-12-2019', 'f', '10', '23-12-1965') 
 INTO PSE1.Kunde VALUES ('515' , 'Caleb', 'Williams', 'First Street', '0', '53336', 'Augsburg', '29-06-2019', 'f', '1', '22-05-1993') 
 INTO PSE1.Kunde VALUES ('516' , 'Jackson', 'Wilson', 'Third Street', '1', '45910', 'Stuttgart', '13-06-2019', 'f', '3', '23-06-1984') 
 INTO PSE1.Kunde VALUES ('517' , 'Nova', 'Martinez', 'Maple Street', '91', '79493', 'Osnabrück', '13-12-2019', 'f', '13', '18-04-1958') 
 INTO PSE1.Kunde VALUES ('518' , 'Camilla', 'Lewis', 'Maple Street', '91', '26108', 'Mannheim', '16-01-2019', 'm', '7', '06-10-1957') 
 INTO PSE1.Kunde VALUES ('519' , 'Carson', 'Anderson', 'Maple Street', '11', '93400', 'Chemnitz', '01-08-2019', 'f', '13', '15-04-2004') 
 INTO PSE1.Kunde VALUES ('520' , 'Josiah', 'Jackson', 'Eighth Street', '79', '98853', 'Munich', '16-08-2019', 'f', '13', '05-07-2004') 
 INTO PSE1.Kunde VALUES ('521' , 'Zoe', 'Walker', 'Oak Street', '44', '82818', 'Frankfurt am Main', '15-08-2019', 'f', '13', '21-01-1969') 
 INTO PSE1.Kunde VALUES ('522' , 'Eliana', 'Lewis', 'Washington Street', '47', '45412', 'Saarbrücken', '17-07-2019', 'm', '11', '16-08-1967') 
 INTO PSE1.Kunde VALUES ('523' , 'Gianna', 'Moore', 'Washington Street', '63', '25791', 'Düsseldorf', '14-06-2019', 'm', '1', '04-11-1994') 
 INTO PSE1.Kunde VALUES ('524' , 'James', 'Moore', 'Lake Street', '96', '87004', 'Hanover', '14-11-2019', 'f', '10', '19-06-1965') 
 INTO PSE1.Kunde VALUES ('525' , 'Nora', 'Thomas', 'Elm Street', '97', '91258', 'Solingen', '12-08-2019', 'f', '4', '27-06-1958') 
 INTO PSE1.Kunde VALUES ('526' , 'Mila', 'Jackson', 'Washington Street', '13', '32522', 'Braunschweig', '26-02-2019', 'm', '6', '06-10-1958') 
 INTO PSE1.Kunde VALUES ('527' , 'Ethan', 'Hernandez', 'Elm Street', '93', '48883', 'Halle', '06-01-2019', 'f', '12', '04-08-1972') 
 INTO PSE1.Kunde VALUES ('528' , 'Ella', 'Johnson', 'First Street', '91', '88820', 'Bonn', '04-10-2019', 'f', '5', '07-05-1998') 
 INTO PSE1.Kunde VALUES ('529' , 'Emily', 'Robinson', 'Cedar Street', '71', '37714', 'Potsdam', '29-11-2019', 'f', '2', '08-11-1995') 
 INTO PSE1.Kunde VALUES ('530' , 'Mila', 'White', 'Eighth Street', '67', '88218', 'Osnabrück', '23-09-2019', 'f', '13', '28-07-2003') 
 INTO PSE1.Kunde VALUES ('531' , 'Hannah', 'Thomas', 'Second Street', '66', '72115', 'Karlsruhe', '04-07-2019', 'f', '4', '29-12-1999') 
 INTO PSE1.Kunde VALUES ('532' , 'Madison', 'Walker', 'Seventh Street', '68', '70043', 'Erfurt', '14-01-2019', 'f', '5', '17-09-1959') 
 INTO PSE1.Kunde VALUES ('533' , 'Riley', 'Garcia', 'Maple Street', '46', '61286', 'Saarbrücken', '23-06-2019', 'f', '12', '16-10-1995') 
 INTO PSE1.Kunde VALUES ('534' , 'Emilia', 'Wilson', 'Fifth Street', '6', '64225', 'Mülheim an der Ruhr', '05-02-2019', 'm', '4', '01-04-1971') 
 INTO PSE1.Kunde VALUES ('535' , 'Ezra', 'Jackson', 'Ninth Street', '33', '64408', 'Chemnitz', '10-12-2019', 'f', '10', '08-12-1968') 
 INTO PSE1.Kunde VALUES ('536' , 'Henry', 'Garcia', 'Second Street', '89', '55848', 'Münster', '12-05-2019', 'f', '6', '02-10-1954') 
 INTO PSE1.Kunde VALUES ('537' , 'Caden', 'Jackson', 'First Street', '36', '56136', 'Lübeck', '15-02-2019', 'f', '7', '13-07-1981') 
 INTO PSE1.Kunde VALUES ('538' , 'Kinsley', 'Thomas', 'Maple Street', '39', '80427', 'Bremen', '19-03-2019', 'm', '9', '14-11-1971') 
 INTO PSE1.Kunde VALUES ('539' , 'Lily', 'Rodriguez', 'Washington Street', '93', '63665', 'Hanover', '25-01-2019', 'm', '6', '05-11-1986') 
 INTO PSE1.Kunde VALUES ('540' , 'Samuel', 'Davis', 'Washington Street', '90', '64493', 'Cologne', '05-06-2019', 'f', '6', '01-05-1961') 
 INTO PSE1.Kunde VALUES ('541' , 'Ava', 'Anderson', 'Oak Street', '90', '48238', 'Bochum', '07-06-2019', 'm', '9', '20-05-1957') 
 INTO PSE1.Kunde VALUES ('542' , 'Charlie', 'Miller', 'Maple Street', '28', '30564', 'Berlin', '01-05-2019', 'm', '12', '02-07-1985') 
 INTO PSE1.Kunde VALUES ('543' , 'Ariana', 'Perez', 'Sixth Street', '23', '76896', 'Dortmund', '29-06-2019', 'f', '4', '31-07-1953') 
 INTO PSE1.Kunde VALUES ('544' , 'Nova', 'Martin', 'Second Street', '86', '81872', 'Wiesbaden', '07-11-2019', 'f', '3', '27-10-1951') 
 INTO PSE1.Kunde VALUES ('545' , 'Ava', 'Thomas', 'Cedar Street', '60', '47072', 'Oberhausen', '30-11-2019', 'f', '13', '07-02-1969') 
 INTO PSE1.Kunde VALUES ('546' , 'Mia', 'Rodriguez', 'Cedar Street', '38', '82964', 'Krefeld', '27-12-2019', 'f', '12', '18-01-1983') 
 INTO PSE1.Kunde VALUES ('547' , 'Aiden', 'Walker', 'Fourth Street', '69', '26719', 'Potsdam', '12-06-2019', 'f', '3', '24-03-1983') 
 INTO PSE1.Kunde VALUES ('548' , 'Matthew', 'Thomas', 'First Street', '52', '75997', 'Dortmund', '07-09-2019', 'f', '4', '13-06-1954') 
 INTO PSE1.Kunde VALUES ('549' , 'Elena', 'Johnson', 'View Street', '13', '88445', 'Oberhausen', '27-07-2019', 'f', '3', '06-02-2000') 
 INTO PSE1.Kunde VALUES ('550' , 'Matthew', 'Brown', 'View Street', '13', '34892', 'Hanover', '26-05-2019', 'm', '9', '20-10-1992') 
 INTO PSE1.Kunde VALUES ('551' , 'Sebastian', 'Hernandez', 'Second Street', '52', '19016', 'Aachen', '08-12-2019', 'f', '7', '26-04-1975') 
 INTO PSE1.Kunde VALUES ('552' , 'Matthew', 'Wilson', 'Third Street', '42', '33662', 'Rostock', '25-10-2019', 'f', '10', '01-05-1974') 
 INTO PSE1.Kunde VALUES ('553' , 'Avery', 'Johnson', 'Lake Street', '25', '99726', 'Stuttgart', '31-08-2019', 'm', '1', '22-01-1995') 
 INTO PSE1.Kunde VALUES ('554' , 'Ava', 'Hernandez', 'Eighth Street', '65', '35438', 'Hagen', '12-08-2019', 'f', '4', '16-10-1956') 
 INTO PSE1.Kunde VALUES ('555' , 'Michael', 'Rodriguez', 'Second Street', '9', '30097', 'Bielefeld', '14-07-2019', 'f', '1', '27-01-1978') 
 INTO PSE1.Kunde VALUES ('556' , 'Isabella', 'Lopez', 'Third Street', '3', '60115', 'Halle', '10-10-2019', 'f', '10', '20-08-1968') 
 INTO PSE1.Kunde VALUES ('557' , 'Emilia', 'Walker', 'Third Street', '25', '81443', 'Bremen', '03-05-2019', 'm', '3', '17-10-1954') 
 INTO PSE1.Kunde VALUES ('558' , 'Sarah', 'White', 'Ninth Street', '13', '78670', 'Leverkusen', '21-09-2019', 'm', '9', '28-01-1988') 
 INTO PSE1.Kunde VALUES ('559' , 'Eliana', 'Williams', 'Fourth Street', '95', '97942', 'Frankfurt am Main', '28-03-2019', 'f', '4', '07-01-1987') 
 INTO PSE1.Kunde VALUES ('560' , 'Madelyn', 'Moore', 'Fourth Street', '43', '99216', 'Halle', '11-06-2019', 'm', '3', '02-12-2002') 
 INTO PSE1.Kunde VALUES ('561' , 'Elena', 'Williams', 'Fifth Street', '20', '18492', 'Rostock', '11-09-2019', 'f', '12', '01-11-1998') 
 INTO PSE1.Kunde VALUES ('562' , 'Ezra', 'Williams', 'Third Street', '3', '38156', 'Stuttgart', '30-08-2019', 'f', '8', '12-08-1983') 
 INTO PSE1.Kunde VALUES ('563' , 'Mason', 'Garcia', 'Cedar Street', '33', '95806', 'Saarbrücken', '28-04-2019', 'f', '5', '21-03-2002') 
 INTO PSE1.Kunde VALUES ('564' , 'Peyton', 'Thompson', 'Pine Street', '99', '18029', 'Essen', '24-04-2019', 'm', '10', '15-08-1959') 
 INTO PSE1.Kunde VALUES ('565' , 'Elena', 'Thompson', 'View Street', '35', '15946', 'Mülheim an der Ruhr', '11-03-2019', 'f', '10', '19-04-2004') 
 INTO PSE1.Kunde VALUES ('566' , 'Michael', 'Brown', 'Ninth Street', '68', '74779', 'Rostock', '11-05-2019', 'm', '10', '08-06-1964') 
 INTO PSE1.Kunde VALUES ('567' , 'Sarah', 'Brown', 'Second Street', '85', '51346', 'Mannheim', '12-11-2019', 'm', '8', '08-10-1962') 
 INTO PSE1.Kunde VALUES ('568' , 'Abigail', 'Brown', 'Main Street', '62', '87762', 'Bochum', '26-07-2019', 'f', '12', '18-12-1955') 
 INTO PSE1.Kunde VALUES ('569' , 'Scarlett', 'Walker', 'Washington Street', '93', '82958', 'Krefeld', '02-01-2019', 'f', '8', '20-11-1981') 
 INTO PSE1.Kunde VALUES ('570' , 'Evelyn', 'Brown', 'Third Street', '34', '44493', 'Hamburg', '31-07-2019', 'f', '8', '18-01-1959') 
 INTO PSE1.Kunde VALUES ('571' , 'Alexander', 'Wilson', 'Seventh Street', '27', '34416', 'Hagen', '20-01-2019', 'f', '1', '04-09-1953') 
 INTO PSE1.Kunde VALUES ('572' , 'Colton', 'Rodriguez', 'View Street', '37', '30396', 'Mülheim an der Ruhr', '02-05-2019', 'f', '13', '08-06-1956') 
 INTO PSE1.Kunde VALUES ('573' , 'Jack', 'Clark', 'Third Street', '44', '42108', 'Rostock', '25-09-2019', 'f', '7', '08-02-1997') 
 INTO PSE1.Kunde VALUES ('574' , 'Aiden', 'Garcia', 'Fourth Street', '86', '93621', 'Rostock', '09-08-2019', 'm', '3', '21-04-1962') 
 INTO PSE1.Kunde VALUES ('575' , 'Ethan', 'Lopez', 'Washington Street', '56', '80112', 'Lübeck', '02-06-2019', 'm', '11', '14-01-2005') 
 INTO PSE1.Kunde VALUES ('576' , 'Levi', 'Brown', 'Lake Street', '19', '84596', 'Frankfurt am Main', '21-04-2019', 'm', '8', '27-11-1963') 
 INTO PSE1.Kunde VALUES ('577' , 'Olivia', 'Jones', 'Fourth Street', '71', '96422', 'Bonn', '02-06-2019', 'f', '3', '13-09-1979') 
 INTO PSE1.Kunde VALUES ('578' , 'Mila', 'Martin', 'Sixth Street', '84', '67639', 'Saarbrücken', '09-06-2019', 'f', '2', '19-02-1968') 
 INTO PSE1.Kunde VALUES ('579' , 'Jayce', 'Thomas', 'Fourth Street', '96', '77895', 'Münster', '05-07-2019', 'f', '5', '31-08-1977') 
 INTO PSE1.Kunde VALUES ('580' , 'Wyatt', 'Perez', 'Seventh Street', '4', '79348', 'Magdeburg', '07-05-2019', 'm', '3', '11-08-1973') 
 INTO PSE1.Kunde VALUES ('581' , 'Kinsley', 'Martinez', 'Pine Street', '84', '67300', 'Hamm', '09-07-2019', 'f', '4', '16-08-2003') 
 INTO PSE1.Kunde VALUES ('582' , 'Jackson', 'Walker', 'Cedar Street', '58', '54155', 'Berlin', '23-12-2019', 'f', '1', '21-06-1990') 
 INTO PSE1.Kunde VALUES ('583' , 'Riley', 'Clark', 'Maple Street', '12', '68964', 'Berlin', '08-12-2019', 'f', '5', '13-07-1983') 
 INTO PSE1.Kunde VALUES ('584' , 'Camilla', 'Gonzalez', 'Fifth Street', '35', '82685', 'Mainz', '08-05-2019', 'm', '9', '07-07-1961') 
 INTO PSE1.Kunde VALUES ('585' , 'Gabriel', 'Walker', 'View Street', '87', '84875', 'Leverkusen', '08-03-2019', 'm', '1', '28-06-1990') 
 INTO PSE1.Kunde VALUES ('586' , 'Emily', 'Lopez', 'Seventh Street', '37', '36528', 'Mönchengladbach', '15-05-2019', 'm', '4', '16-09-1955') 
 INTO PSE1.Kunde VALUES ('587' , 'Charlie', 'Johnson', 'Sixth Street', '15', '92106', 'Nuremberg', '21-01-2019', 'f', '6', '13-03-1977') 
 INTO PSE1.Kunde VALUES ('588' , 'Aiden', 'Gonzalez', 'View Street', '27', '80661', 'Halle', '16-03-2019', 'f', '13', '27-11-1982') 
 INTO PSE1.Kunde VALUES ('589' , 'Jayce', 'Clark', 'Second Street', '52', '81995', 'Ludwigshafen am Rhein', '23-11-2019', 'm', '7', '23-06-1955') 
 INTO PSE1.Kunde VALUES ('590' , 'Asher', 'Wilson', 'Park Street', '82', '43840', 'Mülheim an der Ruhr', '11-11-2019', 'f', '9', '15-06-1984') 
 INTO PSE1.Kunde VALUES ('591' , 'Charlie', 'Moore', 'Ninth Street', '89', '84187', 'Rostock', '30-05-2019', 'm', '6', '19-10-1995') 
 INTO PSE1.Kunde VALUES ('592' , 'Harper', 'Lewis', 'Pine Street', '23', '82388', 'Mainz', '18-03-2019', 'm', '1', '12-11-1967') 
 INTO PSE1.Kunde VALUES ('593' , 'Lincoln', 'Lewis', 'Oak Street', '94', '40622', 'Münster', '13-09-2019', 'f', '1', '23-01-1967') 
 INTO PSE1.Kunde VALUES ('594' , 'Isabella', 'Williams', 'Cedar Street', '72', '40686', 'Duisburg', '26-01-2019', 'm', '1', '29-11-1966') 
 INTO PSE1.Kunde VALUES ('595' , 'Ezra', 'Thomas', 'Oak Street', '29', '69708', 'Berlin', '25-02-2019', 'f', '4', '14-08-1980') 
 INTO PSE1.Kunde VALUES ('596' , 'William', 'Davis', 'Fourth Street', '87', '78099', 'Aachen', '16-01-2019', 'f', '11', '07-11-1998') 
 INTO PSE1.Kunde VALUES ('597' , 'Julian', 'Lewis', 'Lake Street', '98', '63167', 'Augsburg', '27-02-2019', 'f', '9', '06-03-1986') 
 INTO PSE1.Kunde VALUES ('598' , 'Scarlett', 'White', 'Sixth Street', '56', '26200', 'Bremen', '15-06-2019', 'f', '2', '28-06-1989') 
 INTO PSE1.Kunde VALUES ('599' , 'Aubrey', 'Robinson', 'Main Street', '69', '27164', 'Wiesbaden', '16-12-2019', 'm', '6', '20-04-1951') 
 INTO PSE1.Kunde VALUES ('600' , 'Maya', 'Perez', 'Fifth Street', '83', '89116', 'Osnabrück', '20-03-2019', 'm', '6', '21-05-1968') 
 INTO PSE1.Kunde VALUES ('601' , 'Eliana', 'Wilson', 'Fourth Street', '27', '35025', 'Ludwigshafen am Rhein', '06-03-2019', 'f', '7', '29-01-1959') 
 INTO PSE1.Kunde VALUES ('602' , 'Gabriel', 'Jackson', 'Seventh Street', '30', '10560', 'Augsburg', '17-10-2019', 'm', '13', '08-12-1956') 
 INTO PSE1.Kunde VALUES ('603' , 'Adalyn', 'Moore', 'Sixth Street', '77', '10531', 'Wiesbaden', '14-07-2019', 'f', '1', '10-11-1989') 
 INTO PSE1.Kunde VALUES ('604' , 'Avery', 'Lee', 'Lake Street', '75', '39575', 'Kassel', '20-09-2019', 'm', '8', '08-04-1983') 
 INTO PSE1.Kunde VALUES ('605' , 'Henry', 'Lopez', 'Park Street', '76', '37232', 'Rostock', '09-09-2019', 'f', '10', '11-12-1979') 
 INTO PSE1.Kunde VALUES ('606' , 'Carson', 'Williams', 'Pine Street', '55', '47947', 'Saarbrücken', '15-07-2019', 'm', '2', '23-08-2005') 
 INTO PSE1.Kunde VALUES ('607' , 'Paisley', 'Hall', 'Pine Street', '14', '77382', 'Leverkusen', '17-12-2019', 'm', '3', '01-09-1990') 
 INTO PSE1.Kunde VALUES ('608' , 'Caleb', 'Jackson', 'Main Street', '46', '33864', 'Augsburg', '26-03-2019', 'm', '4', '05-05-1956') 
 INTO PSE1.Kunde VALUES ('609' , 'Owen', 'Wilson', 'Fourth Street', '67', '30386', 'Bielefeld', '10-01-2019', 'f', '6', '12-12-1996') 
 INTO PSE1.Kunde VALUES ('610' , 'Penelope', 'Hall', 'Maple Street', '33', '24577', 'Chemnitz', '20-06-2019', 'f', '5', '08-07-1989') 
 INTO PSE1.Kunde VALUES ('611' , 'Emily', 'Anderson', 'Seventh Street', '90', '64607', 'Wuppertal', '24-02-2019', 'f', '12', '18-08-1954') 
 INTO PSE1.Kunde VALUES ('612' , 'Henry', 'White', 'Elm Street', '89', '44688', 'Leipzig', '21-05-2019', 'f', '6', '06-07-1991') 
 INTO PSE1.Kunde VALUES ('613' , 'Aiden', 'Miller', 'Oak Street', '90', '21460', 'Hamm', '11-08-2019', 'f', '2', '08-11-2000') 
 INTO PSE1.Kunde VALUES ('614' , 'Cameron', 'Gonzalez', 'Oak Street', '75', '52651', 'Gelsenkirchen', '25-09-2019', 'f', '6', '07-05-1974') 
