INSERT ALL 
 INTO PSE1.WarenkorbPosition VALUES ('0', '1', '15', '221') 
 INTO PSE1.WarenkorbPosition VALUES ('1342', '0', '431', '426') 
 INTO PSE1.WarenkorbPosition VALUES ('1343', '1', '1828', '337') 
 INTO PSE1.WarenkorbPosition VALUES ('1344', '1', '1593', '342') 
 INTO PSE1.WarenkorbPosition VALUES ('1345', '0', '315', '159') 
 INTO PSE1.WarenkorbPosition VALUES ('1346', '1', '680', '57') 
 INTO PSE1.WarenkorbPosition VALUES ('1347', '2', '1432', '527') 
 INTO PSE1.WarenkorbPosition VALUES ('1348', '1', '63', '17') 
 INTO PSE1.WarenkorbPosition VALUES ('1349', '0', '940', '514') 
 INTO PSE1.WarenkorbPosition VALUES ('1350', '1', '734', '621') 
 INTO PSE1.WarenkorbPosition VALUES ('1351', '2', '467', '537') 
 INTO PSE1.WarenkorbPosition VALUES ('1352', '1', '967', '90') 
 INTO PSE1.WarenkorbPosition VALUES ('1353', '2', '1356', '160') 
 INTO PSE1.WarenkorbPosition VALUES ('1354', '0', '541', '211') 
 INTO PSE1.WarenkorbPosition VALUES ('1355', '2', '1988', '257') 
 INTO PSE1.WarenkorbPosition VALUES ('1356', '2', '83', '567') 
 INTO PSE1.WarenkorbPosition VALUES ('1357', '1', '480', '417') 
 INTO PSE1.WarenkorbPosition VALUES ('1358', '2', '1045', '623') 
 INTO PSE1.WarenkorbPosition VALUES ('1359', '2', '1010', '24') 
 INTO PSE1.WarenkorbPosition VALUES ('1360', '1', '1892', '531') 
 INTO PSE1.WarenkorbPosition VALUES ('1361', '2', '1937', '205') 
 INTO PSE1.WarenkorbPosition VALUES ('1362', '2', '1548', '120') 
 INTO PSE1.WarenkorbPosition VALUES ('1363', '2', '1826', '530') 
 INTO PSE1.WarenkorbPosition VALUES ('1364', '1', '995', '311') 
 INTO PSE1.WarenkorbPosition VALUES ('1365', '1', '416', '583') 
 INTO PSE1.WarenkorbPosition VALUES ('1366', '1', '409', '464') 
 INTO PSE1.WarenkorbPosition VALUES ('1367', '1', '117', '628') 
 INTO PSE1.WarenkorbPosition VALUES ('1368', '0', '1000', '209') 
 INTO PSE1.WarenkorbPosition VALUES ('1369', '0', '1309', '216') 
 INTO PSE1.WarenkorbPosition VALUES ('1370', '1', '839', '531') 
 INTO PSE1.WarenkorbPosition VALUES ('1371', '2', '1871', '260') 
 INTO PSE1.WarenkorbPosition VALUES ('1372', '0', '1968', '99') 
 INTO PSE1.WarenkorbPosition VALUES ('1373', '2', '749', '613') 
 INTO PSE1.WarenkorbPosition VALUES ('1374', '0', '533', '525') 
 INTO PSE1.WarenkorbPosition VALUES ('1375', '0', '795', '180') 
 INTO PSE1.WarenkorbPosition VALUES ('1376', '1', '1365', '423') 
 INTO PSE1.WarenkorbPosition VALUES ('1377', '1', '876', '115') 
 INTO PSE1.WarenkorbPosition VALUES ('1378', '0', '1620', '580') 
 INTO PSE1.WarenkorbPosition VALUES ('1379', '2', '1309', '310') 
 INTO PSE1.WarenkorbPosition VALUES ('1380', '0', '212', '601') 
 INTO PSE1.WarenkorbPosition VALUES ('1381', '2', '1458', '69') 
 INTO PSE1.WarenkorbPosition VALUES ('1382', '1', '899', '173') 
 INTO PSE1.WarenkorbPosition VALUES ('1383', '2', '459', '60') 
 INTO PSE1.WarenkorbPosition VALUES ('1384', '2', '567', '559') 
 INTO PSE1.WarenkorbPosition VALUES ('1385', '2', '1256', '321') 
 INTO PSE1.WarenkorbPosition VALUES ('1386', '0', '676', '360') 
 INTO PSE1.WarenkorbPosition VALUES ('1387', '0', '57', '147') 
 INTO PSE1.WarenkorbPosition VALUES ('1388', '1', '1149', '301') 
 INTO PSE1.WarenkorbPosition VALUES ('1389', '1', '1230', '337') 
 INTO PSE1.WarenkorbPosition VALUES ('1390', '0', '1789', '160') 
 INTO PSE1.WarenkorbPosition VALUES ('1391', '1', '1606', '422') 
 INTO PSE1.WarenkorbPosition VALUES ('1392', '2', '1097', '249') 
 INTO PSE1.WarenkorbPosition VALUES ('1393', '0', '352', '595') 
 INTO PSE1.WarenkorbPosition VALUES ('1394', '1', '675', '6') 
 INTO PSE1.WarenkorbPosition VALUES ('1395', '0', '967', '438') 
 INTO PSE1.WarenkorbPosition VALUES ('1396', '0', '692', '118') 
 INTO PSE1.WarenkorbPosition VALUES ('1397', '0', '630', '388') 
 INTO PSE1.WarenkorbPosition VALUES ('1398', '2', '1716', '494') 
 INTO PSE1.WarenkorbPosition VALUES ('1399', '0', '1886', '435') 
 INTO PSE1.WarenkorbPosition VALUES ('1400', '0', '1509', '516') 
 INTO PSE1.WarenkorbPosition VALUES ('1401', '2', '492', '536') 
 INTO PSE1.WarenkorbPosition VALUES ('1402', '0', '835', '161') 
 INTO PSE1.WarenkorbPosition VALUES ('1403', '1', '643', '604') 
 INTO PSE1.WarenkorbPosition VALUES ('1404', '1', '335', '619') 
 INTO PSE1.WarenkorbPosition VALUES ('1405', '0', '586', '46') 
 INTO PSE1.WarenkorbPosition VALUES ('1406', '1', '909', '589') 
 INTO PSE1.WarenkorbPosition VALUES ('1407', '1', '1520', '234') 
 INTO PSE1.WarenkorbPosition VALUES ('1408', '1', '1933', '321') 
 INTO PSE1.WarenkorbPosition VALUES ('1409', '1', '1829', '137') 
 INTO PSE1.WarenkorbPosition VALUES ('1410', '2', '1548', '402') 
 INTO PSE1.WarenkorbPosition VALUES ('1411', '1', '499', '515') 
 INTO PSE1.WarenkorbPosition VALUES ('1412', '0', '795', '88') 
 INTO PSE1.WarenkorbPosition VALUES ('1413', '1', '1217', '89') 
 INTO PSE1.WarenkorbPosition VALUES ('1414', '0', '541', '111') 
 INTO PSE1.WarenkorbPosition VALUES ('1415', '2', '727', '404') 
 INTO PSE1.WarenkorbPosition VALUES ('1416', '2', '273', '1') 
 INTO PSE1.WarenkorbPosition VALUES ('1417', '2', '1772', '537') 
 INTO PSE1.WarenkorbPosition VALUES ('1418', '1', '1475', '457') 
 INTO PSE1.WarenkorbPosition VALUES ('1419', '2', '1515', '423') 
 INTO PSE1.WarenkorbPosition VALUES ('1420', '1', '666', '333') 
 INTO PSE1.WarenkorbPosition VALUES ('1421', '1', '1426', '149') 
 INTO PSE1.WarenkorbPosition VALUES ('1422', '0', '1535', '287') 
 INTO PSE1.WarenkorbPosition VALUES ('1423', '1', '1606', '185') 
 INTO PSE1.WarenkorbPosition VALUES ('1424', '0', '1422', '187') 
 INTO PSE1.WarenkorbPosition VALUES ('1425', '2', '434', '577') 
 INTO PSE1.WarenkorbPosition VALUES ('1426', '0', '1011', '314') 
 INTO PSE1.WarenkorbPosition VALUES ('1427', '1', '1339', '499') 
 INTO PSE1.WarenkorbPosition VALUES ('1428', '0', '1085', '407') 
 INTO PSE1.WarenkorbPosition VALUES ('1429', '2', '540', '257') 
 INTO PSE1.WarenkorbPosition VALUES ('1430', '0', '331', '365') 
 INTO PSE1.WarenkorbPosition VALUES ('1431', '2', '1080', '249') 
 INTO PSE1.WarenkorbPosition VALUES ('1432', '1', '367', '258') 
 INTO PSE1.WarenkorbPosition VALUES ('1433', '0', '1908', '267') 
 INTO PSE1.WarenkorbPosition VALUES ('1434', '2', '1491', '225') 
 INTO PSE1.WarenkorbPosition VALUES ('1435', '1', '43', '470') 
 INTO PSE1.WarenkorbPosition VALUES ('1436', '1', '442', '342') 
 INTO PSE1.WarenkorbPosition VALUES ('1437', '1', '1310', '312') 
 INTO PSE1.WarenkorbPosition VALUES ('1438', '0', '1850', '33') 
 INTO PSE1.WarenkorbPosition VALUES ('1439', '2', '888', '141') 
 INTO PSE1.WarenkorbPosition VALUES ('1440', '2', '34', '200') 
 INTO PSE1.WarenkorbPosition VALUES ('1441', '0', '1483', '623') 
 INTO PSE1.WarenkorbPosition VALUES ('1442', '0', '15', '500') 
 INTO PSE1.WarenkorbPosition VALUES ('1443', '2', '49', '346') 
 INTO PSE1.WarenkorbPosition VALUES ('1444', '1', '1507', '208') 
 INTO PSE1.WarenkorbPosition VALUES ('1445', '2', '1048', '45') 
 INTO PSE1.WarenkorbPosition VALUES ('1446', '2', '1833', '149') 
 INTO PSE1.WarenkorbPosition VALUES ('1447', '0', '1615', '526') 
 INTO PSE1.WarenkorbPosition VALUES ('1448', '0', '304', '483') 
 INTO PSE1.WarenkorbPosition VALUES ('1449', '0', '756', '48') 
 INTO PSE1.WarenkorbPosition VALUES ('1450', '2', '1771', '497') 
 INTO PSE1.WarenkorbPosition VALUES ('1451', '0', '929', '635') 
 INTO PSE1.WarenkorbPosition VALUES ('1452', '1', '578', '575') 
 INTO PSE1.WarenkorbPosition VALUES ('1453', '0', '811', '276') 
 INTO PSE1.WarenkorbPosition VALUES ('1454', '1', '1707', '390') 
 INTO PSE1.WarenkorbPosition VALUES ('1455', '0', '1439', '104') 
 INTO PSE1.WarenkorbPosition VALUES ('1456', '1', '48', '360') 
 INTO PSE1.WarenkorbPosition VALUES ('1457', '2', '254', '211') 
 INTO PSE1.WarenkorbPosition VALUES ('1458', '0', '208', '1') 
 INTO PSE1.WarenkorbPosition VALUES ('1459', '1', '948', '11') 
 INTO PSE1.WarenkorbPosition VALUES ('1460', '2', '1851', '608') 
 INTO PSE1.WarenkorbPosition VALUES ('1461', '2', '258', '296') 
 INTO PSE1.WarenkorbPosition VALUES ('1462', '0', '1754', '110') 
 INTO PSE1.WarenkorbPosition VALUES ('1463', '2', '1179', '599') 
 INTO PSE1.WarenkorbPosition VALUES ('1464', '2', '1179', '353') 
 INTO PSE1.WarenkorbPosition VALUES ('1465', '2', '132', '422') 
 INTO PSE1.WarenkorbPosition VALUES ('1466', '1', '229', '41') 
 INTO PSE1.WarenkorbPosition VALUES ('1467', '1', '1686', '232') 
 INTO PSE1.WarenkorbPosition VALUES ('1468', '1', '1817', '510') 
 INTO PSE1.WarenkorbPosition VALUES ('1469', '1', '1714', '41') 
 INTO PSE1.WarenkorbPosition VALUES ('1470', '2', '17', '292') 
 INTO PSE1.WarenkorbPosition VALUES ('1471', '1', '111', '100') 
 INTO PSE1.WarenkorbPosition VALUES ('1472', '2', '1882', '61') 
 INTO PSE1.WarenkorbPosition VALUES ('1473', '0', '737', '510') 
 INTO PSE1.WarenkorbPosition VALUES ('1474', '2', '777', '40') 
 INTO PSE1.WarenkorbPosition VALUES ('1475', '2', '360', '214') 
 INTO PSE1.WarenkorbPosition VALUES ('1476', '1', '613', '636') 
 INTO PSE1.WarenkorbPosition VALUES ('1477', '0', '1194', '512') 
 INTO PSE1.WarenkorbPosition VALUES ('1478', '1', '1365', '469') 
 INTO PSE1.WarenkorbPosition VALUES ('1479', '0', '1430', '54') 
 INTO PSE1.WarenkorbPosition VALUES ('1480', '1', '368', '517') 
 INTO PSE1.WarenkorbPosition VALUES ('1481', '1', '1664', '400') 
 INTO PSE1.WarenkorbPosition VALUES ('1482', '1', '404', '362') 
 INTO PSE1.WarenkorbPosition VALUES ('1483', '0', '1598', '609') 
 INTO PSE1.WarenkorbPosition VALUES ('1484', '1', '515', '52') 
 INTO PSE1.WarenkorbPosition VALUES ('1485', '0', '1979', '262') 
 INTO PSE1.WarenkorbPosition VALUES ('1486', '2', '1504', '411') 
 INTO PSE1.WarenkorbPosition VALUES ('1487', '2', '1572', '423') 
 INTO PSE1.WarenkorbPosition VALUES ('1488', '0', '121', '426') 
 INTO PSE1.WarenkorbPosition VALUES ('1489', '2', '1928', '420') 
 INTO PSE1.WarenkorbPosition VALUES ('1490', '0', '252', '458') 
 INTO PSE1.WarenkorbPosition VALUES ('1491', '0', '1221', '613') 
 INTO PSE1.WarenkorbPosition VALUES ('1492', '0', '604', '554') 
 INTO PSE1.WarenkorbPosition VALUES ('1493', '1', '1367', '513') 
 INTO PSE1.WarenkorbPosition VALUES ('1494', '0', '1694', '416') 
 INTO PSE1.WarenkorbPosition VALUES ('1495', '1', '931', '429') 
 INTO PSE1.WarenkorbPosition VALUES ('1496', '1', '1812', '521') 
 INTO PSE1.WarenkorbPosition VALUES ('1497', '2', '1883', '146') 
 INTO PSE1.WarenkorbPosition VALUES ('1498', '1', '1276', '478') 
 INTO PSE1.WarenkorbPosition VALUES ('1499', '2', '69', '624') 
 INTO PSE1.WarenkorbPosition VALUES ('1500', '1', '1173', '483') 
 INTO PSE1.WarenkorbPosition VALUES ('1501', '1', '403', '575') 
 INTO PSE1.WarenkorbPosition VALUES ('1502', '1', '1333', '154') 
 INTO PSE1.WarenkorbPosition VALUES ('1503', '2', '1966', '617') 
 INTO PSE1.WarenkorbPosition VALUES ('1504', '0', '462', '543') 
 INTO PSE1.WarenkorbPosition VALUES ('1505', '1', '907', '296') 
 INTO PSE1.WarenkorbPosition VALUES ('1506', '0', '889', '369') 
 INTO PSE1.WarenkorbPosition VALUES ('1507', '2', '119', '137') 
 INTO PSE1.WarenkorbPosition VALUES ('1508', '2', '301', '266') 
 INTO PSE1.WarenkorbPosition VALUES ('1509', '2', '623', '441') 
 INTO PSE1.WarenkorbPosition VALUES ('1510', '2', '34', '567') 
 INTO PSE1.WarenkorbPosition VALUES ('1511', '1', '169', '508') 
 INTO PSE1.WarenkorbPosition VALUES ('1512', '2', '1082', '541') 
 INTO PSE1.WarenkorbPosition VALUES ('1513', '2', '435', '163') 
 INTO PSE1.WarenkorbPosition VALUES ('1514', '0', '1599', '459') 
 INTO PSE1.WarenkorbPosition VALUES ('1515', '2', '507', '121') 
 INTO PSE1.WarenkorbPosition VALUES ('1516', '0', '446', '487') 
 INTO PSE1.WarenkorbPosition VALUES ('1517', '1', '1833', '316') 
 INTO PSE1.WarenkorbPosition VALUES ('1518', '0', '284', '276') 
 INTO PSE1.WarenkorbPosition VALUES ('1519', '2', '1958', '262') 
 INTO PSE1.WarenkorbPosition VALUES ('1520', '0', '824', '527') 
 INTO PSE1.WarenkorbPosition VALUES ('1521', '0', '890', '289') 
 INTO PSE1.WarenkorbPosition VALUES ('1522', '0', '1288', '266') 
 INTO PSE1.WarenkorbPosition VALUES ('1523', '2', '333', '202') 
 INTO PSE1.WarenkorbPosition VALUES ('1524', '0', '619', '258') 
 INTO PSE1.WarenkorbPosition VALUES ('1525', '1', '1137', '268') 
 INTO PSE1.WarenkorbPosition VALUES ('1526', '0', '926', '84') 
 INTO PSE1.WarenkorbPosition VALUES ('1527', '1', '494', '495') 
 INTO PSE1.WarenkorbPosition VALUES ('1528', '0', '610', '441') 
 INTO PSE1.WarenkorbPosition VALUES ('1529', '0', '966', '611') 
 INTO PSE1.WarenkorbPosition VALUES ('1530', '0', '878', '331') 
 INTO PSE1.WarenkorbPosition VALUES ('1531', '2', '1686', '563') 
 INTO PSE1.WarenkorbPosition VALUES ('1532', '1', '306', '16') 
 INTO PSE1.WarenkorbPosition VALUES ('1533', '0', '1006', '575') 
 INTO PSE1.WarenkorbPosition VALUES ('1534', '1', '314', '457') 
 INTO PSE1.WarenkorbPosition VALUES ('1535', '2', '1399', '602') 
 INTO PSE1.WarenkorbPosition VALUES ('1536', '0', '1722', '80') 
 INTO PSE1.WarenkorbPosition VALUES ('1537', '2', '1909', '194') 
 INTO PSE1.WarenkorbPosition VALUES ('1538', '1', '305', '616') 
 INTO PSE1.WarenkorbPosition VALUES ('1539', '1', '1514', '203') 
 INTO PSE1.WarenkorbPosition VALUES ('1540', '1', '1095', '540') 
 INTO PSE1.WarenkorbPosition VALUES ('1541', '0', '1608', '458') 
 INTO PSE1.WarenkorbPosition VALUES ('1542', '1', '1631', '339') 
 INTO PSE1.WarenkorbPosition VALUES ('1543', '1', '1767', '183') 
 INTO PSE1.WarenkorbPosition VALUES ('1544', '1', '999', '184') 
 INTO PSE1.WarenkorbPosition VALUES ('1545', '0', '1038', '53') 
 INTO PSE1.WarenkorbPosition VALUES ('1546', '1', '1564', '251') 
 INTO PSE1.WarenkorbPosition VALUES ('1547', '1', '1412', '259') 
 INTO PSE1.WarenkorbPosition VALUES ('1548', '0', '1386', '293') 
 INTO PSE1.WarenkorbPosition VALUES ('1549', '2', '909', '26') 
 INTO PSE1.WarenkorbPosition VALUES ('1550', '2', '1770', '138') 
 INTO PSE1.WarenkorbPosition VALUES ('1551', '2', '139', '238') 
 INTO PSE1.WarenkorbPosition VALUES ('1552', '1', '1689', '204') 
 INTO PSE1.WarenkorbPosition VALUES ('1553', '0', '1801', '425') 
 INTO PSE1.WarenkorbPosition VALUES ('1554', '1', '190', '298') 
 INTO PSE1.WarenkorbPosition VALUES ('1555', '0', '1000', '129') 
 INTO PSE1.WarenkorbPosition VALUES ('1556', '2', '1272', '181') 
 INTO PSE1.WarenkorbPosition VALUES ('1557', '0', '924', '390') 
 INTO PSE1.WarenkorbPosition VALUES ('1558', '1', '1165', '65') 
 INTO PSE1.WarenkorbPosition VALUES ('1559', '2', '1896', '394') 
 INTO PSE1.WarenkorbPosition VALUES ('1560', '0', '1210', '616') 
 INTO PSE1.WarenkorbPosition VALUES ('1561', '2', '1535', '419') 
 INTO PSE1.WarenkorbPosition VALUES ('1562', '2', '424', '69') 
 INTO PSE1.WarenkorbPosition VALUES ('1563', '1', '1799', '492') 
 INTO PSE1.WarenkorbPosition VALUES ('1564', '2', '683', '376') 
 INTO PSE1.WarenkorbPosition VALUES ('1565', '1', '1506', '96') 
 INTO PSE1.WarenkorbPosition VALUES ('1566', '2', '509', '274') 
 INTO PSE1.WarenkorbPosition VALUES ('1567', '0', '1154', '539') 
 INTO PSE1.WarenkorbPosition VALUES ('1568', '1', '909', '165') 
 INTO PSE1.WarenkorbPosition VALUES ('1569', '2', '854', '186') 
 INTO PSE1.WarenkorbPosition VALUES ('1570', '1', '647', '461') 
 INTO PSE1.WarenkorbPosition VALUES ('1571', '0', '946', '119') 
 INTO PSE1.WarenkorbPosition VALUES ('1572', '0', '1075', '1') 
 INTO PSE1.WarenkorbPosition VALUES ('1573', '2', '1882', '210') 
 INTO PSE1.WarenkorbPosition VALUES ('1574', '2', '148', '591') 
 INTO PSE1.WarenkorbPosition VALUES ('1575', '0', '848', '409') 
 INTO PSE1.WarenkorbPosition VALUES ('1576', '2', '82', '150') 
 INTO PSE1.WarenkorbPosition VALUES ('1577', '2', '90', '277') 
 INTO PSE1.WarenkorbPosition VALUES ('1578', '2', '1799', '202') 
 INTO PSE1.WarenkorbPosition VALUES ('1579', '0', '1466', '259') 
 INTO PSE1.WarenkorbPosition VALUES ('1580', '0', '738', '605') 
 INTO PSE1.WarenkorbPosition VALUES ('1581', '0', '1384', '120') 
 INTO PSE1.WarenkorbPosition VALUES ('1582', '2', '815', '352') 
 INTO PSE1.WarenkorbPosition VALUES ('1583', '2', '1703', '83') 
 INTO PSE1.WarenkorbPosition VALUES ('1584', '0', '1642', '66') 
 INTO PSE1.WarenkorbPosition VALUES ('1585', '2', '1654', '231') 
 INTO PSE1.WarenkorbPosition VALUES ('1586', '0', '1143', '141') 
 INTO PSE1.WarenkorbPosition VALUES ('1587', '2', '44', '499') 
 INTO PSE1.WarenkorbPosition VALUES ('1588', '1', '1570', '554') 
 INTO PSE1.WarenkorbPosition VALUES ('1589', '1', '15', '158') 
 INTO PSE1.WarenkorbPosition VALUES ('1590', '0', '1699', '391') 
 INTO PSE1.WarenkorbPosition VALUES ('1591', '1', '1971', '301') 
 INTO PSE1.WarenkorbPosition VALUES ('1592', '1', '271', '474') 
 INTO PSE1.WarenkorbPosition VALUES ('1593', '0', '1303', '169') 
 INTO PSE1.WarenkorbPosition VALUES ('1594', '2', '1546', '87') 
 INTO PSE1.WarenkorbPosition VALUES ('1595', '2', '693', '304') 
 INTO PSE1.WarenkorbPosition VALUES ('1596', '1', '1481', '523') 
 INTO PSE1.WarenkorbPosition VALUES ('1597', '0', '1398', '66') 
 INTO PSE1.WarenkorbPosition VALUES ('1598', '1', '1211', '241') 
 INTO PSE1.WarenkorbPosition VALUES ('1599', '0', '571', '402') 
 INTO PSE1.WarenkorbPosition VALUES ('1600', '0', '326', '186') 
 INTO PSE1.WarenkorbPosition VALUES ('1601', '0', '1462', '197') 
 INTO PSE1.WarenkorbPosition VALUES ('1602', '2', '1769', '208') 
 INTO PSE1.WarenkorbPosition VALUES ('1603', '0', '382', '304') 
 INTO PSE1.WarenkorbPosition VALUES ('1604', '0', '363', '396') 
 INTO PSE1.WarenkorbPosition VALUES ('1605', '2', '27', '207') 
 INTO PSE1.WarenkorbPosition VALUES ('1606', '1', '1932', '500') 
 INTO PSE1.WarenkorbPosition VALUES ('1607', '0', '1884', '90') 
 INTO PSE1.WarenkorbPosition VALUES ('1608', '0', '1385', '574') 
 INTO PSE1.WarenkorbPosition VALUES ('1609', '0', '277', '259') 
 INTO PSE1.WarenkorbPosition VALUES ('1610', '1', '563', '634') 
 INTO PSE1.WarenkorbPosition VALUES ('1611', '1', '1676', '77') 
 INTO PSE1.WarenkorbPosition VALUES ('1612', '2', '636', '317') 
 INTO PSE1.WarenkorbPosition VALUES ('1613', '2', '1494', '211') 
 INTO PSE1.WarenkorbPosition VALUES ('1614', '0', '1753', '384') 
 INTO PSE1.WarenkorbPosition VALUES ('1615', '1', '1802', '142') 
 INTO PSE1.WarenkorbPosition VALUES ('1616', '2', '1958', '354') 
 INTO PSE1.WarenkorbPosition VALUES ('1617', '0', '568', '536') 
 INTO PSE1.WarenkorbPosition VALUES ('1618', '1', '26', '250') 
 INTO PSE1.WarenkorbPosition VALUES ('1619', '2', '1969', '321') 
 INTO PSE1.WarenkorbPosition VALUES ('1620', '2', '471', '596') 
 INTO PSE1.WarenkorbPosition VALUES ('1621', '1', '1941', '481') 
 INTO PSE1.WarenkorbPosition VALUES ('1622', '2', '460', '420') 
 INTO PSE1.WarenkorbPosition VALUES ('1623', '0', '1185', '187') 
 INTO PSE1.WarenkorbPosition VALUES ('1624', '0', '1965', '324') 
 INTO PSE1.WarenkorbPosition VALUES ('1625', '2', '1934', '452') 
 INTO PSE1.WarenkorbPosition VALUES ('1626', '2', '487', '233') 
 INTO PSE1.WarenkorbPosition VALUES ('1627', '0', '1982', '272') 
 INTO PSE1.WarenkorbPosition VALUES ('1628', '0', '1739', '585') 
 INTO PSE1.WarenkorbPosition VALUES ('1629', '0', '1066', '320') 
 INTO PSE1.WarenkorbPosition VALUES ('1630', '0', '834', '146') 
 INTO PSE1.WarenkorbPosition VALUES ('1631', '1', '1349', '509') 
 INTO PSE1.WarenkorbPosition VALUES ('1632', '2', '1825', '187') 
 INTO PSE1.WarenkorbPosition VALUES ('1633', '2', '430', '623') 
 INTO PSE1.WarenkorbPosition VALUES ('1634', '2', '649', '164') 
 INTO PSE1.WarenkorbPosition VALUES ('1635', '1', '1890', '327') 
 INTO PSE1.WarenkorbPosition VALUES ('1636', '0', '1900', '248') 
 INTO PSE1.WarenkorbPosition VALUES ('1637', '2', '1973', '194') 
 INTO PSE1.WarenkorbPosition VALUES ('1638', '2', '327', '14') 
 INTO PSE1.WarenkorbPosition VALUES ('1639', '2', '218', '268') 
 INTO PSE1.WarenkorbPosition VALUES ('1640', '2', '835', '277') 
 INTO PSE1.WarenkorbPosition VALUES ('1641', '1', '1486', '234') 
 INTO PSE1.WarenkorbPosition VALUES ('1642', '2', '495', '504') 
 INTO PSE1.WarenkorbPosition VALUES ('1643', '1', '413', '390') 
 INTO PSE1.WarenkorbPosition VALUES ('1644', '0', '1350', '226') 
 INTO PSE1.WarenkorbPosition VALUES ('1645', '1', '1652', '568') 
 INTO PSE1.WarenkorbPosition VALUES ('1646', '0', '1280', '611') 
 INTO PSE1.WarenkorbPosition VALUES ('1647', '1', '573', '72') 
 INTO PSE1.WarenkorbPosition VALUES ('1648', '2', '724', '527') 
 INTO PSE1.WarenkorbPosition VALUES ('1649', '0', '41', '414') 
 INTO PSE1.WarenkorbPosition VALUES ('1650', '1', '223', '159') 
 INTO PSE1.WarenkorbPosition VALUES ('1651', '1', '919', '94') 
 INTO PSE1.WarenkorbPosition VALUES ('1652', '1', '1652', '586') 
 INTO PSE1.WarenkorbPosition VALUES ('1653', '1', '1154', '102') 
 INTO PSE1.WarenkorbPosition VALUES ('1654', '1', '1534', '593') 
 INTO PSE1.WarenkorbPosition VALUES ('1655', '0', '1723', '118') 
 INTO PSE1.WarenkorbPosition VALUES ('1656', '0', '956', '428') 
 INTO PSE1.WarenkorbPosition VALUES ('1657', '1', '1381', '359') 
 INTO PSE1.WarenkorbPosition VALUES ('1658', '0', '798', '525') 
 INTO PSE1.WarenkorbPosition VALUES ('1659', '0', '911', '617') 
 INTO PSE1.WarenkorbPosition VALUES ('1660', '2', '1633', '297') 
 INTO PSE1.WarenkorbPosition VALUES ('1661', '0', '80', '289') 
 INTO PSE1.WarenkorbPosition VALUES ('1662', '1', '318', '492') 
 INTO PSE1.WarenkorbPosition VALUES ('1663', '2', '1626', '397') 
 INTO PSE1.WarenkorbPosition VALUES ('1664', '2', '1434', '411') 
 INTO PSE1.WarenkorbPosition VALUES ('1665', '1', '1931', '323') 
 INTO PSE1.WarenkorbPosition VALUES ('1666', '1', '759', '28') 
 INTO PSE1.WarenkorbPosition VALUES ('1667', '2', '407', '337') 
 INTO PSE1.WarenkorbPosition VALUES ('1668', '2', '1582', '445') 
 INTO PSE1.WarenkorbPosition VALUES ('1669', '2', '73', '151') 
 INTO PSE1.WarenkorbPosition VALUES ('1670', '1', '335', '490') 
 INTO PSE1.WarenkorbPosition VALUES ('1671', '0', '561', '182') 
 INTO PSE1.WarenkorbPosition VALUES ('1672', '1', '24', '225') 
 INTO PSE1.WarenkorbPosition VALUES ('1673', '0', '1869', '13') 
 INTO PSE1.WarenkorbPosition VALUES ('1674', '1', '1863', '573') 
 INTO PSE1.WarenkorbPosition VALUES ('1675', '1', '226', '149') 
 INTO PSE1.WarenkorbPosition VALUES ('1676', '2', '123', '436') 
 INTO PSE1.WarenkorbPosition VALUES ('1677', '1', '1476', '310') 
 INTO PSE1.WarenkorbPosition VALUES ('1678', '0', '278', '591') 
 INTO PSE1.WarenkorbPosition VALUES ('1679', '1', '796', '65') 
 INTO PSE1.WarenkorbPosition VALUES ('1680', '2', '810', '144') 
 INTO PSE1.WarenkorbPosition VALUES ('1681', '1', '1265', '392') 
 INTO PSE1.WarenkorbPosition VALUES ('1682', '1', '1062', '515') 
 INTO PSE1.WarenkorbPosition VALUES ('1683', '0', '1921', '438') 
 INTO PSE1.WarenkorbPosition VALUES ('1684', '0', '49', '7') 
 INTO PSE1.WarenkorbPosition VALUES ('1685', '2', '1787', '156') 
 INTO PSE1.WarenkorbPosition VALUES ('1686', '0', '1069', '335') 
 INTO PSE1.WarenkorbPosition VALUES ('1687', '2', '1729', '40') 
 INTO PSE1.WarenkorbPosition VALUES ('1688', '0', '982', '307') 
 INTO PSE1.WarenkorbPosition VALUES ('1689', '0', '372', '415') 
 INTO PSE1.WarenkorbPosition VALUES ('1690', '1', '178', '269') 
 INTO PSE1.WarenkorbPosition VALUES ('1691', '0', '500', '317') 
 INTO PSE1.WarenkorbPosition VALUES ('1692', '0', '1053', '468') 
 INTO PSE1.WarenkorbPosition VALUES ('1693', '1', '676', '6') 
 INTO PSE1.WarenkorbPosition VALUES ('1694', '0', '1520', '328') 
 INTO PSE1.WarenkorbPosition VALUES ('1695', '1', '1199', '365') 
 INTO PSE1.WarenkorbPosition VALUES ('1696', '0', '600', '30') 
 INTO PSE1.WarenkorbPosition VALUES ('1697', '1', '1', '217') 
 INTO PSE1.WarenkorbPosition VALUES ('1698', '2', '520', '238') 
 INTO PSE1.WarenkorbPosition VALUES ('1699', '0', '863', '478') 
 INTO PSE1.WarenkorbPosition VALUES ('1700', '0', '464', '397') 
 INTO PSE1.WarenkorbPosition VALUES ('1701', '1', '1920', '42') 
 INTO PSE1.WarenkorbPosition VALUES ('1702', '0', '1504', '396') 
 INTO PSE1.WarenkorbPosition VALUES ('1703', '1', '1148', '601') 
